Id,Title,Labels,Iteration,Iteration Start,Iteration End,Type,Estimate,Current State,Created at,Accepted at,Deadline,Requested By,Description,URL,Other ID,Integration,Owned By,Comment,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status
135909183,"As a customer, i can print receipt so that i can see what transaction that have been make",,,,,feature,1,accepted,14-Nov-16,15-Nov-16,,Wee ShengHao,After payment can click print receipt to generate a receipt,https://www.pivotaltracker.com/story/show/135909183,,,"Choo,KaiLun Ong,Wee ShengHao",,Add a button in the payment user interface ,completed,Create a display format to display a payment receipt,completed,Writing the source code to display the receipt ,completed,Testing the link between the payment and the receipt whether got linked,completed,Fixing the receipt display format and any bug and error,completed,Completed,completed
135924229,"As a customer, I can login to the system so that I can edit and view my information and more detail on restaurant.",,,,,feature,2,accepted,14-Nov-16,15-Nov-16,,KaiLun Ong,"username and password used to login and name, address, phone number can be changed after login.",https://www.pivotaltracker.com/story/show/135924229,,,"Choo,KaiLun Ong,Chan Ken Feng",,Create login user interface,completed,Coding for the login function.,completed,Testing the login function and fix the bug.,completed,Complete,completed,,,,
135908359,"As an customer, i can register as member so that i can login into the system.",,,,,feature,1,accepted,14-Nov-16,15-Nov-16,,KaiLun Ong,"To create new member we need member id, name, phone number, address, date of birth",https://www.pivotaltracker.com/story/show/135908359,,,"Wee ShengHao,KaiLunOng,Ong Xiang","@kailuno @wees  (Choo - Dec 26, 2016)",Create a registration as a member user interface.,completed,"Write the source code for registration as a member such as name,phone number,address and date of birth required.",completed,Testing the registration as a member and fix the bug.,completed,Complete.,completed,,,,
135774521,"As an admin, I can view the member list so that i can find the member details I want.",,,,,feature,1,accepted,14-Nov-16,15-Nov-16,,Wee ShengHao,The admin can click on View Member to display the member list.,https://www.pivotaltracker.com/story/show/135774521,,,"Chan Ken Feng,Ong Xiang","@kailuno @wees  (Choo - Dec 26, 2016)",Create the view member list user interface .,completed,Write the source code for view member list function.,completed,Testing the view member list function and fix the bug.,completed,Complete,completed,,,,
135773565,"As an admin, I can delete member detail so that unrenew member are removed.",,,,,feature,2,accepted,14-Nov-16,15-Nov-16,,Wee ShengHao,The admin need to choose a member ID and click delete to remove the selected member,https://www.pivotaltracker.com/story/show/135773565,,,"KaiLun Ong,Choo,WeeShengHao,Ong Xiang","@kailuno @wees  (Choo - Dec 26, 2016)",Create a delete member detail user interface.,completed,Write the source code for delete member detail function.,completed,Testing the delete member detail and fix the bug.,completed,Complete,completed,,,,
135772941,"As an admin, I could add new menu so that customer can order our new menu.",,,,,feature,1,accepted,14-Nov-16,15-Nov-16,,Choo,"The admin can need to enter food id, name , price and type, to create new menu.",https://www.pivotaltracker.com/story/show/135772941,,,"Chan Ken Feng,Ong Xiang,Wee ShengHao","@kailuno @wees  (Choo - Dec 26, 2016)",Create an add new menu user interface.,completed,"Write the source code for add new menu function with name,price and type of food required.",completed,Testing the add new menu function and fix the bug.,completed,Complete.,completed,,,,
135772801,"As an admin, I can delete menu so that unwanted menu are removed.",,,,,feature,1,accepted,14-Nov-16,15-Nov-16,,Choo,The admin can just enter the food id to remove the menu that want to remove,https://www.pivotaltracker.com/story/show/135772801,,,"Choo,KaiLun Ong,Ong Xiang",,Create interface for remove a menu,completed,Write source code to remove the menu with the food id is required to find the menu,completed,Testing the code validation,completed,Fixing any error and bugs,completed,Complete,completed,,
135909227,"As an admin, i can search menu so that i can view the menu more detail.",,,,,feature,1,accepted,14-Nov-16,15-Nov-16,,Choo,The admin need to enter the menu id to get the menu detail.,https://www.pivotaltracker.com/story/show/135909227,,,"Choo,KaiLun Ong,Wee ShengHao",,Create a user interface to search a menu,completed,Write the source code to find the menu,completed,Testing the validation for invalid input and empty input,completed,Fixing any bug and errors ,completed,Completed,completed,,
135909235,"As an admin , i can update menu detail so that the menu information is up to date.",,,,,feature,1,accepted,14-Nov-16,15-Nov-16,,KaiLun Ong,Admin need to enter menu id then update what necessary. ,https://www.pivotaltracker.com/story/show/135909235,,,"Choo,Chan Ken Feng,KaiLun Ong",,Create a user interface to update the menu information,completed,Writing the source code to update the menu detail ,completed,Testing the code validation like invalid input and empty input.,completed,Completed,completed,,,,
135909263,"As an admin, i can update staff so that the staff personal detail is up to date.",,,,,feature,1,accepted,14-Nov-16,15-Nov-16,,Wee ShengHao,Admin require to enter staff id so that can edit the staff information,https://www.pivotaltracker.com/story/show/135909263,,,"Wee ShengHao,KaiLunOng,Chan Ken Feng",,Create an user interface to update staff personal detail,completed,Writing the source code to update  staff detail,completed,"Testing the validation like invalid name, age, date of birth and empty input",completed,Fixing the errors and bugs,completed,Completed,completed,,
